ward_name,subcounty
Kitisuru,Westlands
Parklands/Highridge,Westlands
Karura,Westlands
Kangemi,Westlands
Mountain View,Westlands
Kilimani,Dagoretti North
Kawangware,Dagoretti North
Gatina,Dagoretti North
Kileleshwa,Dagoretti North
Kabiro,Dagoretti North
Mutuini,Dagoretti South
Ngando,Dagoretti South
Riruta,Dagoretti South
Uthiru/Ruthimitu,Dagoretti South
Waithaka,Dagoretti South
Karen,Langata
Nairobi West,Langata
Mugumo-ini,Langata
South C,Langata
Nyayo Highrise,Langata
Laini Saba,Kibra
Lindi,Kibra
Makina,Kibra
Woodley/Kenyatta Golf Course,Kibra
Sarang'ombe,Kibra
Githurai 44,Roysambu
Kahawa West,Roysambu
Zimmerman,Roysambu
Roysambu,Roysambu
Kahawa,Roysambu
Clay City,Kasarani
Mwiki,Kasarani
Kasarani,Kasarani
Njiru,Kasarani
Ruai,Kasarani
Babadogo,Ruaraka
Utalii,Ruaraka
Mathare North,Ruaraka
Lucky Summer,Ruaraka
Korogocho,Ruaraka
Imara Daima,Embakasi South
Kwa Njenga,Embakasi South
Kwa Reuben,Embakasi South
Pipeline,Embakasi South
Kware,Embakasi South
Kariobangi North,Embakasi North
Dandora Area I,Embakasi North
Dandora Area II,Embakasi North
Dandora Area III,Embakasi North
Dandora Area IV,Embakasi North
Kayole North,Embakasi Central
Kayole Central,Embakasi Central
Kayole South,Embakasi Central
Komarock,Embakasi Central
Matopeni,Embakasi Central
Upper Savanna,Embakasi East
Lower Savanna,Embakasi East
Embakasi,Embakasi East
Utawala,Embakasi East
Mihango,Embakasi East
Umoja I,Embakasi West
Umoja II,Embakasi West
Mowlem,Embakasi West
Kariobangi South,Embakasi West
Donholm,Embakasi West
Maringo/Hamza,Makadara
Viwandani,Makadara
Harambee,Makadara
Makongeni,Makadara
Mbotela,Makadara
Pumwani,Kamukunji
Eastleigh North,Kamukunji
Eastleigh South,Kamukunji
Airbase,Kamukunji
California,Kamukunji
Nairobi Central,Starehe
Ngara,Starehe
Pangani,Starehe
Ziwani/Kariokor,Starehe
Landimawe,Starehe
Hospital,Mathare
Mabatini,Mathare
Huruma,Mathare
Ngei,Mathare
Mlango Kubwa,Mathare
